Código Cliente;Nível de risco;Possui servidor CFTV;Pessoa Física, Jurídica, ou Órgão Público;Estado;Cidade;Bairro;Data/hora;Código do evento;Confirmado
11608;4;0;1;SP;SAO CARLOS;VILA COSTA DO SOL;2019-01-01 12:30:22.090;E134;0
11293;5;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 12:35:22.770;E131;0
11608;4;0;1;SP;SAO CARLOS;VILA COSTA DO SOL;2019-01-01 12:40:12.120;E131;0
11608;4;0;1;SP;SAO CARLOS;VILA COSTA DO SOL;2019-01-01 12:40:24.300;E134;0
11608;4;0;1;SP;SAO CARLOS;VILA COSTA DO SOL;2019-01-01 12:40:51.670;E134;0
11608;4;0;1;SP;SAO CARLOS;VILA COSTA DO SOL;2019-01-01 12:40:59.780;E134;0
11460;3;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 12:52:22.990;E131;0
11460;3;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 13:06:25.000;E131;0
11317;4;0;1;SP;SAO CARLOS;JARDIM ACAPULCO;2019-01-01 13:07:08.650;E131;0
11365;4;0;0;SP;SAO CARLOS;JARDIM SANTA PAULA;2019-01-01 13:10:37.780;E131;0
11460;3;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 13:13:02.970;E131;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:30:41.240;E130;1
11460;3;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 13:31:50.047;E131;0
11708;3;0;1;SP;SAO CARLOS;JARDIM RICETTI;2019-01-01 13:45:59.933;E131;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:55:48.190;E130;1
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:56:36.317;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:56:51.997;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:56:59.340;E130;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:57:28.880;E130;1
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:58:33.600;E130;1
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:59:32.887;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 13:59:47.853;E130;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 14:00:34.000;E130;1
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 14:02:13.193;E130;1
11306;3;0;1;SP;SAO CARLOS;JARDIM CARDINALLI;2019-01-01 14:33:03.420;E132;0
11480;4;0;1;SP;SAO CARLOS;JARDIM PACAEMBU;2019-01-01 15:59:03.220;E130;0
11763;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 16:06:28.353;E134;0
10049;5;0;0;SP;SAO CARLOS;JARDIM IPANEMA;2019-01-01 16:07:02.520;E131;1
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:06.830;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:11.450;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:16.880;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:22.627;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:28.107;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:36.377;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:41.870;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:47.443;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:14:55.000;E131;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:15:00.543;E131;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:15:06.330;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:15:12.367;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:15:17.143;E130;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:16:01.350;E134;0
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 16:16:12.440;E134;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:17:02.000;1902;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:17:02.000;1902;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:21:54.923;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:22:00.507;E130;0
8184;5;0;0;SP;SAO CARLOS;SANTA PAULA;2019-01-01 16:30:15.770;E134;1
11795;4;0;0;SP;SAO CARLOS;NUCLEO RESID SILVIO VILARI;2019-01-01 16:31:20.717;E131;0
8184;5;0;0;SP;SAO CARLOS;SANTA PAULA;2019-01-01 16:32:34.850;E134;1
8184;5;0;0;SP;SAO CARLOS;SANTA PAULA;2019-01-01 16:35:13.270;E134;1
8184;5;0;0;SP;SAO CARLOS;SANTA PAULA;2019-01-01 16:35:49.827;E134;1
11588;3;0;1;SP;SAO CARLOS;ROMEU TORTORELLI;2019-01-01 16:36:20.290;E301;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:42:52.660;E130;1
11611;4;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 16:47:31.400;E122;0
11611;4;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 16:47:37.480;E122;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 16:53:44.010;E130;1
11781;4;0;0;SP;SAO CARLOS;VILA LUTFALLA;2019-01-01 16:59:18.943;E130;0
11781;4;0;0;SP;SAO CARLOS;VILA LUTFALLA;2019-01-01 16:59:22.973;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:31:16.607;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:31:21.680;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:31:27.753;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:32:00.203;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:32:11.383;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:32:17.480;E130;0
11483;3;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 17:32:50.980;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:41:34.770;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:41:46.937;E130;0
